config,attack,watermark,conf,bit_acc,bits,pesq
TI_AW,crop_3s,Timbre,,1.0,,
TI_AW,crop_3s,AWARE,,0.6,,
TI_AW,pitch_up,Timbre,,0.1,,
TI_AW,pitch_up,AWARE,,0.6,,
AU_AW_TI,baseline,AudioSeal,,1.0,,3.245
AU_AW_TI,baseline,AWARE,,1.0,,3.245
AU_AW_TI,baseline,Timbre,,1.0,,3.245
AU_AW_TI,mp3_128,AudioSeal,,1.0,,3.244
AU_AW_TI,mp3_128,AWARE,,1.0,,3.244
AU_AW_TI,mp3_128,Timbre,,1.0,,3.244
AU_AW_TI,mp3_64,AudioSeal,,1.0,,3.224
AU_AW_TI,mp3_64,AWARE,,1.0,,3.224
AU_AW_TI,mp3_64,Timbre,,1.0,,3.224
AU_AW_TI,aac_128,AudioSeal,,1.0,,3.237
AU_AW_TI,aac_128,AWARE,,1.0,,3.237
AU_AW_TI,aac_128,Timbre,,1.0,,3.237
AU_AW_TI,opus_64,AudioSeal,,1.0,,3.225
AU_AW_TI,opus_64,AWARE,,1.0,,3.225
AU_AW_TI,opus_64,Timbre,,1.0,,3.225
AU_AW_TI,resample_8k,AudioSeal,,1.0,,2.972
AU_AW_TI,resample_8k,AWARE,,1.0,,2.972
AU_AW_TI,resample_8k,Timbre,,1.0,,2.972
AU_AW_TI,lowpass_4k,AudioSeal,,0.94,,3.308
AU_AW_TI,lowpass_4k,AWARE,,1.0,,3.308
AU_AW_TI,lowpass_4k,Timbre,,1.0,,3.308
AU_AW_TI,highpass_500,AudioSeal,,0.94,,3.278
AU_AW_TI,highpass_500,AWARE,,1.0,,3.278
AU_AW_TI,highpass_500,Timbre,,1.0,,3.278
AU_AW_TI,quantize_8bit,AudioSeal,,1.0,,2.151
AU_AW_TI,quantize_8bit,AWARE,,1.0,,2.151
AU_AW_TI,quantize_8bit,Timbre,,1.0,,2.151
AU_AW_TI,echo,AudioSeal,,1.0,,2.07
AU_AW_TI,echo,AWARE,,1.0,,2.07
AU_AW_TI,echo,Timbre,,1.0,,2.07
AU_AW_TI,sample_suppress,AudioSeal,,1.0,,3.173
AU_AW_TI,sample_suppress,AWARE,,1.0,,3.173
AU_AW_TI,sample_suppress,Timbre,,1.0,,3.173
AU_AW_TI,noise_20db,AudioSeal,,1.0,,1.876
AU_AW_TI,noise_20db,AWARE,,1.0,,1.876
AU_AW_TI,noise_20db,Timbre,,1.0,,1.876
AU_AW_TI,noise_10db,AudioSeal,,0.88,,1.245
AU_AW_TI,noise_10db,AWARE,,1.0,,1.245
AU_AW_TI,noise_10db,Timbre,,1.0,,1.245
AU_AW_TI,noise_5db,AudioSeal,,0.88,,1.128
AU_AW_TI,noise_5db,AWARE,,0.95,,1.128
AU_AW_TI,noise_5db,Timbre,,0.8,,1.128
AU_AW_TI,tempo_up_10,AudioSeal,,0.62,,
AU_AW_TI,tempo_up_10,AWARE,,1.0,,
AU_AW_TI,tempo_up_10,Timbre,,1.0,,
AU_AW_TI,tempo_down_10,AudioSeal,,0.56,,
AU_AW_TI,tempo_down_10,AWARE,,1.0,,
AU_AW_TI,tempo_down_10,Timbre,,1.0,,
AU_AW_TI,denoise,AudioSeal,,0.62,,3.572
AU_AW_TI,denoise,AWARE,,1.0,,3.572
AU_AW_TI,denoise,Timbre,,1.0,,3.572
AU_AW_TI,crop_30s,AudioSeal,,1.0,,
